gold_label	sentence1	sentence2
Invalidate	A man is jumping a bike over a red dirt ramp in the forest.	The man missed and fell off.
Support	A man is jumping a bike over a red dirt ramp in the forest.	He is learning a new trick.
Neutral	A man is jumping a bike over a red dirt ramp in the forest.	The color red is associated with luck in some cultures.
Invalidate	The young boy in the red shirt is kicking a soccer ball.	young boys get some water
Support	The young boy in the red shirt is kicking a soccer ball.	Every morning boys play soccer in ground
Neutral	The young boy in the red shirt is kicking a soccer ball.	young boys like play in field
Invalidate	A flock of swans gathers around a person in a boat on a sunny day.	the people ate lunch
Support	A flock of swans gathers around a person in a boat on a sunny day.	they got attacked by the birds
Neutral	A flock of swans gathers around a person in a boat on a sunny day.	people like the majestic swans
Invalidate	A dog running with a toy in his mouth.	a dog waiting for food
Support	A dog running with a toy in his mouth.	a dog has a toy it plays with
Neutral	A dog running with a toy in his mouth.	dogs enjoy playing with toys
Invalidate	Two African-American people walking at an outdoor festival.	The two of them sit indoors in the evening.
Support	Two African-American people walking at an outdoor festival.	They had come to the festival to hear their favorite band.
Neutral	Two African-American people walking at an outdoor festival.	The grassy lawn stretched into the distance.
Invalidate	In what looks to be a run down place, a man is pouring a white substance into a steaming pot.	The man lives in a huge mansion and he is watching his wife cook.
Support	In what looks to be a run down place, a man is pouring a white substance into a steaming pot.	The paint is peeling off the walls
Neutral	In what looks to be a run down place, a man is pouring a white substance into a steaming pot.	Buildings that are in decay should be fixed.
Invalidate	A older Asian man is playing an instrument in front of a young boy on the street.	The boy dropped ten rupees in his bowl
Support	A older Asian man is playing an instrument in front of a young boy on the street.	Boy is looking at him with great sympathy
Neutral	A older Asian man is playing an instrument in front of a young boy on the street.	Elderly has very few livelihood options with growing age
Invalidate	A knight in full armor, including a protective, ventilated headpiece, rides his horse and carries his shield.	A knight spends his day off lounging by the market.
Support	A knight in full armor, including a protective, ventilated headpiece, rides his horse and carries his shield.	The knight has prepared for today's battle.
Neutral	A knight in full armor, including a protective, ventilated headpiece, rides his horse and carries his shield.	All knights in the kingdom own headpiece.
Invalidate	A crowd of people views newspaper covers in Washington D.C.	They are going to have breakfast
Support	A crowd of people views newspaper covers in Washington D.C.	Everyone is eagerly looking to read the today's Headlines as it exposes more important issues happened recently
Neutral	A crowd of people views newspaper covers in Washington D.C.	Reading articles and stories help to update ourself with more informations
Invalidate	Willie Nelson looking stage right while at the microphone.	he stops singing because of an audio error
Support	Willie Nelson looking stage right while at the microphone.	The cleared his throat before he began into his song.
Neutral	Willie Nelson looking stage right while at the microphone.	many people went to the stadium for the concert
Invalidate	Two ladies are crossing a street right in front of a restaurant.	The ladies are eating burgers in the restaurant.
Support	Two ladies are crossing a street right in front of a restaurant.	Ladies cross cross work very attentively.
Neutral	Two ladies are crossing a street right in front of a restaurant.	People usually crosswalk very attentively.
Invalidate	A belly dancer in white and blue dances with a sword on her head.	The dancer is having coffee with her fans who invited her to lunch.
Support	A belly dancer in white and blue dances with a sword on her head.	She is concentrating very hard as she dances lest the sword should fall off her head.
Neutral	A belly dancer in white and blue dances with a sword on her head.	Belly dancing is very difficult but even more so if you are balancing a sword on your head.
Invalidate	A view down onto a street where there are people walking on the sidewalk and a row of motorcycles parked along the median.	A giant truck is interrupting the pedestrians to cross the street
Support	A view down onto a street where there are people walking on the sidewalk and a row of motorcycles parked along the median.	People are arranging the bikes in a perfect row.
Neutral	A view down onto a street where there are people walking on the sidewalk and a row of motorcycles parked along the median.	A beautiful view of the street always makes us to obey the traffic rules.
Invalidate	A man on a milk crate plays the accordion.	The crowd claps when he finishes a song.
Support	A man on a milk crate plays the accordion.	many people passing by stop to hear the music
Neutral	A man on a milk crate plays the accordion.	many street artists are there on that street
Invalidate	A guy reads a book while sitting in front of a piano.	He locks up his classroom when band class ends.
Support	A guy reads a book while sitting in front of a piano.	He chooses between potential songs in his collection of musical notation.
Neutral	A guy reads a book while sitting in front of a piano.	Access to musical instruments is an important opportunity for many people.
Invalidate	A young blond woman and older brunet woman walking down a street talking and observing.	The women get some food in a restaurant.
Support	A young blond woman and older brunet woman walking down a street talking and observing.	The women converse about their day.
Neutral	A young blond woman and older brunet woman walking down a street talking and observing.	Most women like to gossip.
Invalidate	A kid is jumping his bike over a fence.	The kid eats food at a restaurant.
Support	A kid is jumping his bike over a fence.	The kid leaps as high as he can.
Neutral	A kid is jumping his bike over a fence.	Most kids like to ride bikes.
Invalidate	Two women are viewing a projector screen.	One of them has fallen asleep as the movie is about to finish.
Support	Two women are viewing a projector screen.	They have popcorns in their hands.
Neutral	Two women are viewing a projector screen.	The technologies used these days for presenting stuff have really been improved.
Invalidate	A group of travelers of various backgrounds walk down a hallway, carrying and dragging their luggage.	Travelers sitting on the lunch table and ordering different type of foods
Support	A group of travelers of various backgrounds walk down a hallway, carrying and dragging their luggage.	Hotel Staff welcoming the travelers by garlands.
Neutral	A group of travelers of various backgrounds walk down a hallway, carrying and dragging their luggage.	Travelling creates friendship  from different background and different countries.
Invalidate	Two dogs carry one object while wading in the ocean.	The dogs rest in their dog houses.
Support	Two dogs carry one object while wading in the ocean.	The two dogs try to make sure they don't drop the item.
Neutral	Two dogs carry one object while wading in the ocean.	Most dogs like to retrieve items.
Invalidate	A woman with her back to the camera, and another young woman facing a street full of cars, standing next to a Mercedes.	The women are inside the Mercedes talking about their past
Support	A woman with her back to the camera, and another young woman facing a street full of cars, standing next to a Mercedes.	The one in front of the filming device has the sun shining on her hair
Neutral	A woman with her back to the camera, and another young woman facing a street full of cars, standing next to a Mercedes.	Its lovely to meet old friends and go for a drive
Invalidate	A man is skateboarding off a rail down brick stairs.	The skateboarder is injured and in pain.
Support	A man is skateboarding off a rail down brick stairs.	The man waves his hands while doing the stunt.
Neutral	A man is skateboarding off a rail down brick stairs.	Skateboarding is a thrilling sport and can give an adrenaline rush.
Invalidate	A woman kissing a man in an orange shirt and brown jacket on the cheek.	The woman and man are asleep.
Support	A woman kissing a man in an orange shirt and brown jacket on the cheek.	The woman must be in love with the man.
Neutral	A woman kissing a man in an orange shirt and brown jacket on the cheek.	The woman and man are very affectionate.
Invalidate	An Asian male putting noodles and rice in a small container.	He is going to reach office
Support	An Asian male putting noodles and rice in a small container.	He faces some discomfort in preparing food as he woke up very late today
Neutral	An Asian male putting noodles and rice in a small container.	Making eatable items for lunch and reach the office on time will be a kind of pressure for some of the office goers.
Invalidate	A woman in a blue shirt and straw hat is painting outside.	Woman is cleaning the paint brush and other items used for painting
Support	A woman in a blue shirt and straw hat is painting outside.	Crowd is astonished looking at the combination of colours being used in painting
Neutral	A woman in a blue shirt and straw hat is painting outside.	Women prove themselves in art work
Invalidate	A man is giving some kind of magic presentation to a family.	The family has left and gone home.
Support	A man is giving some kind of magic presentation to a family.	The family claps for the magic the magician performs.
Neutral	A man is giving some kind of magic presentation to a family.	The family consists of a mom
Invalidate	Many people stand on a dock near a boat.	They are going to reach home
Support	Many people stand on a dock near a boat.	The coach has given instructions to the water sport paricipants on how to win the competition
Neutral	Many people stand on a dock near a boat.	Sailing sport help to feel togetherness among people and become helpful each other during hard times
Invalidate	A man in black sneakers is sitting and smoking.	The man going to hospital
Support	A man in black sneakers is sitting and smoking.	He puffs out the smoke
Neutral	A man in black sneakers is sitting and smoking.	Smoking is bad for your health
Invalidate	People walking to support breast cancer.	People just go night surfing in Hawaii.
Support	People walking to support breast cancer.	Many of the supporters wear pink.
Neutral	People walking to support breast cancer.	More than a quarter million people are diagnosed with cancer every year.
Invalidate	A woman in ethnic clothes looks like she is dancing.	She is talking to her friends in the ceremony.
Support	A woman in ethnic clothes looks like she is dancing.	She dances very welk at special occasion.
Neutral	A woman in ethnic clothes looks like she is dancing.	Women know how to dance very well.
Invalidate	Several little girls dressed up in costume to entertain their friends and families.	one of the girls refused to do the show and started crying
Support	Several little girls dressed up in costume to entertain their friends and families.	the girls organize the show for christmas
Neutral	Several little girls dressed up in costume to entertain their friends and families.	all the family was reunited to watch the show
Invalidate	Four young children on a sandy beach, with rocks and others in the background.	Everyone left to their home and and beach is empty now.
Support	Four young children on a sandy beach, with rocks and others in the background.	Children seems happy playing at beach.
Neutral	Four young children on a sandy beach, with rocks and others in the background.	Beaches this year are not busy like other years.
Invalidate	Two ladies in tank tops are singing into a microphone, they both have dark hair and one is white and the other African American.	The women are at home sleeping.
Support	Two ladies in tank tops are singing into a microphone, they both have dark hair and one is white and the other African American.	They are excited to sing karaoke.
Neutral	Two ladies in tank tops are singing into a microphone, they both have dark hair and one is white and the other African American.	Singing is a talent that a lot of people have.
Invalidate	A black and white dog jumps up as a ball is thrown over his head.	The dog eats food out of his bowl.
Support	A black and white dog jumps up as a ball is thrown over his head.	The dog leaps as high as he can.
Neutral	A black and white dog jumps up as a ball is thrown over his head.	Most dogs like to play with balls.
Invalidate	two men in a field or jungle looking at something.	They realize that it is just a stick
Support	two men in a field or jungle looking at something.	Both of them are wondering whether it is a poisonous snake
Neutral	two men in a field or jungle looking at something.	Wild life is found easily in jungles
Invalidate	A young girl dressed in cultural attire dances for the onlooking spectators.	She went out to eat
Support	A young girl dressed in cultural attire dances for the onlooking spectators.	she is dancing like nobody is watching
Neutral	A young girl dressed in cultural attire dances for the onlooking spectators.	This type of dance is very popular in the region
Invalidate	A crowd in a large city seeing the sites of the downtown lights.	The city with the sun coming up over the hill.
Support	A crowd in a large city seeing the sites of the downtown lights.	Everyone is looking up amazed by the lights and the tall skyscrapers.
Neutral	A crowd in a large city seeing the sites of the downtown lights.	More people are moving away from rural areas and towards cities.
Invalidate	Many people are at a convention where a picture of a man in a banana suit is projected on to two big screens.	The participants are proceeding to banquet hall for their lunch.
Support	Many people are at a convention where a picture of a man in a banana suit is projected on to two big screens.	it might go on for quite sometime.
Neutral	Many people are at a convention where a picture of a man in a banana suit is projected on to two big screens.	Various innovative ideas are essential to conduct meetings.
Invalidate	A lady sitting beside of a Sprite bottle licking something white off of her fork.	She finished her lunch quickly as she was eager to get back to class.
Support	A lady sitting beside of a Sprite bottle licking something white off of her fork.	She thinks about the ingredients of sauce .
Neutral	A lady sitting beside of a Sprite bottle licking something white off of her fork.	Reusable utensils are much better for the environment.
Invalidate	A guy wearing a motorcycle helmet is riding an ATV on a sandy road.	The guy is having a swim at the sea
Support	A guy wearing a motorcycle helmet is riding an ATV on a sandy road.	The ATV is going really fast
Neutral	A guy wearing a motorcycle helmet is riding an ATV on a sandy road.	It is very fun to ride ATVs in a sandy surface
Invalidate	Three barefoot dancers wearing spider-web costumes lie on the floor and scream.	A man with a microphone in his hand starts to sing.
Support	Three barefoot dancers wearing spider-web costumes lie on the floor and scream.	This is the first of many shows tonight.
Neutral	Three barefoot dancers wearing spider-web costumes lie on the floor and scream.	These people enjoy being adored and naked
Invalidate	A tanned man with white hair wearing plastic gloves making cotton candy in front of a small fair with parents and children.	A man picks up garbage around the fair grounds after it has closed.
Support	A tanned man with white hair wearing plastic gloves making cotton candy in front of a small fair with parents and children.	The cotton candy he makes is a swirl of pink
Neutral	A tanned man with white hair wearing plastic gloves making cotton candy in front of a small fair with parents and children.	Cotton candy is a popular treat when going to the fair.
Invalidate	A group of assorted people, some standing and some sitting down, are watching the nighttime festivities.	The morning has come upon them
Support	A group of assorted people, some standing and some sitting down, are watching the nighttime festivities.	They are having fun watching the shows
Neutral	A group of assorted people, some standing and some sitting down, are watching the nighttime festivities.	People tend to enjoy festivals
Invalidate	A woman in a white apron balances a basket on her head.	The lady is now cooking dinner for her family
Support	A woman in a white apron balances a basket on her head.	The object on her head seems like it is about to fall
Neutral	A woman in a white apron balances a basket on her head.	To balance things on your head requires a great deal of balance
Invalidate	A man serves a volleyball on the sand court at a volleyball competition.	The man showers to wash away the sand.
Support	A man serves a volleyball on the sand court at a volleyball competition.	His serve may land in bounds and score a point.
Neutral	A man serves a volleyball on the sand court at a volleyball competition.	Volleyball can be played on a beach or on a gym floor.
Invalidate	two small children standing next to a jeans advertisement.	Children walked away and planned to buy new jeans.
Support	two small children standing next to a jeans advertisement.	The design of the jeans in the advertisement attracted the children.
Neutral	two small children standing next to a jeans advertisement.	We can see more advertisements for jeans than cotton pants.
Invalidate	Many young boys are pointing out in the distance.	They have all run away.
Support	Many young boys are pointing out in the distance.	The blue plane has caught their attention.
Neutral	Many young boys are pointing out in the distance.	The plane has flown away to the west and the boys have followed it.
Invalidate	Outside the window you can see an area of dirt that appears muddy from the rain.	The dirt outside of the window has dried back into dirt.
Support	Outside the window you can see an area of dirt that appears muddy from the rain.	There is some mud on the window.
Neutral	Outside the window you can see an area of dirt that appears muddy from the rain.	Everything was soaking.
Invalidate	Two runners in a race are running in the woods.	They are going to reach home
Support	Two runners in a race are running in the woods.	They are facing some difficulties in crossing these places to win the competition
Neutral	Two runners in a race are running in the woods.	By working hard in all kinds of surfaces with dedication and concentration
Invalidate	Several people in a choir are singing and being led by a director.	they had to stop recording because someone missed a note
Support	Several people in a choir are singing and being led by a director.	that was the last rehersal for the show of the weekend
Neutral	Several people in a choir are singing and being led by a director.	many people are there in order to see the school's show
Invalidate	Two men making clothing in a third world country.	The men eat food at a restaurant.
Support	Two men making clothing in a third world country.	The men put together fabric.
Neutral	Two men making clothing in a third world country.	Most people don't want to live in third world countries.
Invalidate	A woman plays with her dog on an obstacle course.	The woman is giving her dog a bath with the hose to get all the mud off his coat.
Support	A woman plays with her dog on an obstacle course.	The woman is throwing the branch and the dog is running past the obstacles trying to retrive it.
Neutral	A woman plays with her dog on an obstacle course.	Obstacle courses are fun both for humans and animals to play in.
Invalidate	The bride and the groom are staring into each others eyes as the preacher reads them their wedding vows.	The couple is enjoying their honeymoon in Hawaii.
Support	The bride and the groom are staring into each others eyes as the preacher reads them their wedding vows.	Wedding guests are staring at the couple.
Neutral	The bride and the groom are staring into each others eyes as the preacher reads them their wedding vows.	Planning a wedding is so easy nowadays.
Invalidate	a small child playing on a tire swing	The child has gone home already.
Support	a small child playing on a tire swing	The child's parents watch from a park bench as their kid plays on the tire swing.
Neutral	a small child playing on a tire swing	The kid often likes to play at parks.
Invalidate	This is a group of women playing volleyball in sports bikinis.	Women are going to take a drinks break.
Support	This is a group of women playing volleyball in sports bikinis.	They are enjoying themselves by performing a game takes place in a rectangular court divided by a high net.
Neutral	This is a group of women playing volleyball in sports bikinis.	These days women are interested in playing volleyball.
Invalidate	A man has let go of the rope swing over the river.	The river is overflowing quickly
Support	A man has let go of the rope swing over the river.	It must be difficult to trust our weight to ropes on water
Neutral	A man has let go of the rope swing over the river.	There are people who enjoy varied sports in nature
Invalidate	A woman with white shoes and a gray shirt looking at traffic.	A woman is going to reach her office
Support	A woman with white shoes and a gray shirt looking at traffic.	Today
Neutral	A woman with white shoes and a gray shirt looking at traffic.	If we use alternate transport during peak hours
Invalidate	A black and white dog running on the beach while a man stands behind it.	The pet animal is going to search food for dinner
Support	A black and white dog running on the beach while a man stands behind it.	When the pet animal rushes on the seaside area
Neutral	A black and white dog running on the beach while a man stands behind it.	Rushes and enjoys on the seaside area will help to refresh the mind and lead a peaceful life.
Invalidate	A group of people are gathered.	Everyone is at home and in bed.
Support	A group of people are gathered.	They have come to discuss this weeks book.
Neutral	A group of people are gathered.	You must always wash your hands after attending large gatherings.
Invalidate	A man and a woman smile as they sit in yellow lawn chairs.	They are walk to the street.
Support	A man and a woman smile as they sit in yellow lawn chairs.	The people eat food in the kitchen.
Neutral	A man and a woman smile as they sit in yellow lawn chairs.	They are doing something.
Invalidate	Three people smiling and holding political signs.	They are going to have lunch
Support	Three people smiling and holding political signs.	They are working hard for a election vote campaign
Neutral	Three people smiling and holding political signs.	We should support a good candidate to help them to win and build a better nation
Invalidate	Two men play guitar among a group of people on a boat.	The police take an aggressive for breaking a guitar
Support	Two men play guitar among a group of people on a boat.	the guitar one of them plays is great
Neutral	Two men play guitar among a group of people on a boat.	A lot of people like to play guitar on boats
Invalidate	A man in ornate tribal attire sings against a feathery orange background.	A man reach the destination
Support	A man in ornate tribal attire sings against a feathery orange background.	He dances and sings as a part of the custom.
Neutral	A man in ornate tribal attire sings against a feathery orange background.	People are enjoying with family
Invalidate	A group of people are walking down the sidewalk of a big city.	The group goes to a restaurant to eat.
Support	A group of people are walking down the sidewalk of a big city.	The group tries to move as quickly down the road as possible.
Neutral	A group of people are walking down the sidewalk of a big city.	Most people believe walking is a good form of exercise.
Invalidate	A skateboarder on a ramp, doing a trick.	The skateboarder takes off their gear
Support	A skateboarder on a ramp, doing a trick.	The skateboarder looks at the incredible drop
Neutral	A skateboarder on a ramp, doing a trick.	The skateboarder seems very exhausted
Invalidate	A man in a bathroom looks in the mirror and applies shaving cream.	The man is having a bath.
Support	A man in a bathroom looks in the mirror and applies shaving cream.	He is applying an expensive cream.
Neutral	A man in a bathroom looks in the mirror and applies shaving cream.	Shaving regularly enhances one's personality.
Invalidate	A woman wearing a black top standing in front of and holding a microphone.	A woman gave a microphone to a stranger passing on the street
Support	A woman wearing a black top standing in front of and holding a microphone.	A woman is protesting for the women's right to walk alone on street
Neutral	A woman wearing a black top standing in front of and holding a microphone.	Neighbors were saying that it was dangerous for that woman to be out there alone.
Invalidate	A young male playing an electric bass guitar.	The young man plays the drums
Support	A young male playing an electric bass guitar.	The young man plays in a band
Neutral	A young male playing an electric bass guitar.	The young man enjoys listening to music
Invalidate	A woman looking through a telescope at a dinosaur.	The animals have all gone to bed now but she can still gaze at the stars.
Support	A woman looking through a telescope at a dinosaur.	She can make out fine details such as the scales on the fingers.
Neutral	A woman looking through a telescope at a dinosaur.	You can observe many things through a telescope from animals to galaxies.
Invalidate	A man is sitting outside and lifting his shirt up.	The man gets a drink from his fridge in the kitchen.
Support	A man is sitting outside and lifting his shirt up.	He is attempting to use the shirt to fan himself since it's hot.
Neutral	A man is sitting outside and lifting his shirt up.	A lot of people like to sit outside on a nice day.
Invalidate	The girl is standing as the other girl with glasses works on her hand painting.	the two started fighting and one of them started crying
Support	The girl is standing as the other girl with glasses works on her hand painting.	they create a beautiful painting
Neutral	The girl is standing as the other girl with glasses works on her hand painting.	the teacher was there taking a picture of them
Invalidate	This is two men building a playground.	They are going to home
Support	This is two men building a playground.	It seems hard work for two men to build it
Neutral	This is two men building a playground.	The playground should be enjoyable
Invalidate	A man in a plaid shirt and a boy in a blue long-sleeved shirt are working together.	They are stacking the wood that they cut together earlier.
Support	A man in a plaid shirt and a boy in a blue long-sleeved shirt are working together.	They are cutting the wood
Neutral	A man in a plaid shirt and a boy in a blue long-sleeved shirt are working together.	Team work is said to make the deam work.
Invalidate	Two men jumping on a rock wall	The men get some food at a restaurant.
Support	Two men jumping on a rock wall	The men try to leap as high as they can.
Neutral	Two men jumping on a rock wall	Most people like jumping in the air.
Invalidate	A young boy in a red outfit is climbing up a tree.	The boy takes a shower at home.
Support	A young boy in a red outfit is climbing up a tree.	He tries to climb the tree as fast as he can.
Neutral	A young boy in a red outfit is climbing up a tree.	Most kids enjoy climbing trees in the summer.
Invalidate	Two boys skateboarding at a park.	They took the skateboards into hand
Support	Two boys skateboarding at a park.	They slow down as approaching the end of ramp
Neutral	Two boys skateboarding at a park.	It is easy for skaters to skate on dedicated pavement
Invalidate	a woman and child ride a teeter-taughter in a park.	it started raining and they ha to go home
Support	a woman and child ride a teeter-taughter in a park.	The two teeter-taughter while waiting on a swing opening.
Neutral	a woman and child ride a teeter-taughter in a park.	many familis are waiting to have a ride
Invalidate	Two construction workers are welding a metal structure.	Two constructor workers completed their buliding construction within 1 day.
Support	Two construction workers are welding a metal structure.	The construction workers plan to finish their construction by this month.
Neutral	Two construction workers are welding a metal structure.	They use strong bricks to bulid a basement for the building.
Invalidate	A woman singing while a man plays guitar.	They are going to reach home
Support	A woman singing while a man plays guitar.	Their performace pulls a large crowd as they introduced a new song and tunes
Neutral	A woman singing while a man plays guitar.	A good quality music attracts all kinds of peoples and helps to achieve a great success in life
Invalidate	a little boy jumps onto a bed.	the dad of the boy told him to stop because he feared he could fall and hurt himself
Support	a little boy jumps onto a bed.	the boy is jumping because he is annoyed
Neutral	a little boy jumps onto a bed.	the dad's boy is a lawyer
Invalidate	A woman with glasses and a scarf stands outside in the snow.	The woman enjoys being warm by the fire place and drinking hot cocoa.
Support	A woman with glasses and a scarf stands outside in the snow.	The cold snow hits the top of the woman's head as she walks to her car.
Neutral	A woman with glasses and a scarf stands outside in the snow.	The winter weather is enjoyable to the woman.
Invalidate	A man jumps in the air above some large rocks.	The man fell on the ground.
Support	A man jumps in the air above some large rocks.	The wind blows the man's hair as he goes over.
Neutral	A man jumps in the air above some large rocks.	Jumping over rocks can be dangerous
Invalidate	A redheaded singer with arms spread on stage.	A singer goes to outside of the stage
Support	A redheaded singer with arms spread on stage.	This pose is very interesting to a people
Neutral	A redheaded singer with arms spread on stage.	Singer is one who sings a song.
Invalidate	A happy young girl in pigtails watching something.	her parents told her to go to sleep
Support	A happy young girl in pigtails watching something.	The girl needs to sleep well before school
Neutral	A happy young girl in pigtails watching something.	usually parents are really cautious about their kids not going to sleep when they told them to.
Invalidate	A man in a green jacket and white camouflage pants has his hand around a pole holding up a white tent above him while other people gather in front of him.	It is completely empty where he was and no one is around.
Support	A man in a green jacket and white camouflage pants has his hand around a pole holding up a white tent above him while other people gather in front of him.	The people ask if they could watch and see how a camp is set up.
Neutral	A man in a green jacket and white camouflage pants has his hand around a pole holding up a white tent above him while other people gather in front of him.	Camping is a great activity for everyone to do.
Invalidate	Man with cup looking up while riding on an escalator	The man fills his cup at the water fountain.
Support	Man with cup looking up while riding on an escalator	The escalator is moving rather slowly.
Neutral	Man with cup looking up while riding on an escalator	Escalators can be fun for kids to play on.
Invalidate	People are crosscountry skiing in a single file line.	The ski resort is closed earlier due to coronavirus and the slopes are deserted.
Support	People are crosscountry skiing in a single file line.	The slower skiers are holding up the line and making the more experienced ones impatient.
Neutral	People are crosscountry skiing in a single file line.	Skiing is very popular but is in danger of extinction due to global warming.
Invalidate	Two women, one looking down, the other drinking.	The bartender closes the bar for the night.
Support	Two women, one looking down, the other drinking.	The woman raises her eyes and orders another drink.
Neutral	Two women, one looking down, the other drinking.	It is unsafe to drink and drive.
Invalidate	Three people sitting on a bus each doing something different.	People are talking each other .
Support	Three people sitting on a bus each doing something different.	They are playing games in their smartphones.
Neutral	Three people sitting on a bus each doing something different.	People like to either watch their smartphones or talk in the buses while traveling somewhere.
Invalidate	Young women carry a brown purse looking in the window of a shoe store.	they are having lunch in the food court of the mall
Support	Young women carry a brown purse looking in the window of a shoe store.	the shoe store is very attractive to the young women
Neutral	Young women carry a brown purse looking in the window of a shoe store.	women love to hold many shopping bags
Invalidate	A group of people are seen in a church singing under a yellow ceiling.	They are going to have lunch
Support	A group of people are seen in a church singing under a yellow ceiling.	They are praying to God in a chromatic colour wall area of a religious place by vocalizing some songs.
Neutral	A group of people are seen in a church singing under a yellow ceiling.	Praying to God by vocalizing some songs will refresh the mind and lead a peaceful life.
Invalidate	A man with a mustache who is driving a Mercedes-Benz, is looking over his shoulder and smiling.	The man leaves his car in the service center.
Support	A man with a mustache who is driving a Mercedes-Benz, is looking over his shoulder and smiling.	Someone is sitting behind his seat.
Neutral	A man with a mustache who is driving a Mercedes-Benz, is looking over his shoulder and smiling.	Owning a Mercedes can enhance self esteem.
Invalidate	A child playing on a rope net.	The child gets some food in the kitchen.
Support	A child playing on a rope net.	The child goes up the rope.
Neutral	A child playing on a rope net.	Most children like to play with rope.
Invalidate	A male surgeon peers into the surgical area while another surgeon works.	The surgery is successfully completed.
Support	A male surgeon peers into the surgical area while another surgeon works.	He is trying to help his senior.
Neutral	A male surgeon peers into the surgical area while another surgeon works.	Getting a surgery can be costly.
Invalidate	A woman standing on a rock and a man standing there and talking to her.	They are going to reach home
Support	A woman standing on a rock and a man standing there and talking to her.	She stays on a naturally formed stone like mineral with a male who chats with her.
Neutral	A woman standing on a rock and a man standing there and talking to her.	Staying on a naturally formed stone like mineral will help to refresh the mind and lead a peaceful life.
Invalidate	A person jogs down a gravel road after a small dog.	A man is drinking morning coffee.
Support	A person jogs down a gravel road after a small dog.	A man is putting on running shoes.
Neutral	A person jogs down a gravel road after a small dog.	Most dogs like to run.
Invalidate	A man with short hair and a child are sitting as the child opens a present.	The child started to cry because it wasn't what she expected
Support	A man with short hair and a child are sitting as the child opens a present.	The child is trying to open the gift because the knot is too tight.
Neutral	A man with short hair and a child are sitting as the child opens a present.	Nowadays
Invalidate	A female is helping a child drive a bumper car.	A female is making dinner for her child.
Support	A female is helping a child drive a bumper car.	The child is crying because he is hungry.
Neutral	A female is helping a child drive a bumper car.	Mothers help their child with new tasks.
Invalidate	A girl dives into the water while another girl watches her.	The two girls taking class notes.
Support	A girl dives into the water while another girl watches her.	They wear swimming dress with knee caps.
Neutral	A girl dives into the water while another girl watches her.	They are practicing for the olympic competition.
Invalidate	People with backpacks hiking in the mountains.	people strolling with backpacks on the road
Support	People with backpacks hiking in the mountains.	the people find it difficult to climb the moutains
Neutral	People with backpacks hiking in the mountains.	mountain hiking is fun to do
Invalidate	A father (or child molester) swims with a small child in a pool.	The two people eat food at the snack bar.
Support	A father (or child molester) swims with a small child in a pool.	The father paddles as fast as he can.
Neutral	A father (or child molester) swims with a small child in a pool.	Most people like swimming in the pool.
Invalidate	Two people in heaving clothing preparing food on a mountain.	They go down to base camp for the night because of the weather
Support	Two people in heaving clothing preparing food on a mountain.	The open fire on the mountainside is very idyllic and lovely
Neutral	Two people in heaving clothing preparing food on a mountain.	It is their first major hike together in the Rockies
Invalidate	A woman is sleeping on a park bench.	A woman is talking over phone sitting in a park.
Support	A woman is sleeping on a park bench.	This womanis homeless and has no where else to go because all the nearby shelters are full.
Neutral	A woman is sleeping on a park bench.	Sleeping is essential to all humans
Invalidate	An Asian woman with black hair is holding a toddler that is looking at the camera.	The Asian woman is watching the child graduate high school.
Support	An Asian woman with black hair is holding a toddler that is looking at the camera.	The woman said
Neutral	An Asian woman with black hair is holding a toddler that is looking at the camera.	A lot of people are raising toddlers.
Invalidate	A dog jumping to catch a Frisbee.	Fido returns the disc to his owner in anticipation of chasing the Frisbee again.
Support	A dog jumping to catch a Frisbee.	The dog's fur waves in slow motion with the movement of his jump.
Neutral	A dog jumping to catch a Frisbee.	The dog has been trained to catch Frisbees and balls - it is great fun.
Invalidate	Chubby redhead child reads birthday card.	The redhead child rides his bike down the road.
Support	Chubby redhead child reads birthday card.	Everyone sang happy birthday while the child blew out the candles.
Neutral	Chubby redhead child reads birthday card.	Chocolate cake is the most popular kind of birthday cake.
Invalidate	These two dogs are walking in a forest.	Police are inspecting the place that the dogs stopped at
Support	These two dogs are walking in a forest.	The dogs are smelling the ground to find the criminal's whereabout
Neutral	These two dogs are walking in a forest.	Dogs are very important to find criminals
Invalidate	Two men walking their bikes.	they went home after a long day
Support	Two men walking their bikes.	the two frinds enjoy a walk for their houses while the sun is setting
Neutral	Two men walking their bikes.	many people went to the bike park today
Invalidate	A woman wearing with a handbag enjoying an ice cream cone.	There are too many dogs in this area.
Support	A woman wearing with a handbag enjoying an ice cream cone.	Ice cream and cookies please and thank you.
Neutral	A woman wearing with a handbag enjoying an ice cream cone.	Take it easy man
Invalidate	Young girl rollerblading with safety gear.	The girl eats dinner with her family.
Support	Young girl rollerblading with safety gear.	The girl skates down a big hill in her neighborhood.
Neutral	Young girl rollerblading with safety gear.	Roller blading is a fun hobby of many young kids.
Invalidate	A bus driver holds his hand up to his face while driving on a major road in the evening.	driver always drive vehicle carefully using both hand
Support	A bus driver holds his hand up to his face while driving on a major road in the evening.	The driver scratches his face.
Neutral	A bus driver holds his hand up to his face while driving on a major road in the evening.	people should do risky work carefully
Invalidate	The juggler is entertaining the young boys on the sidewalk.	Juggler takes a selfie with the boys.
Support	The juggler is entertaining the young boys on the sidewalk.	He is manipulating some objects in the air.
